En	Aorist	Acc	Neg Ac	Unac	TRANS	PREPS
verify	ⵙⵙⵉⴷⵜ	ⵙⵙⵉⴷⵜ	ⵙⵙⵉⴷⵜ	ⵙⵙⵉⴷⵉⵜ	Trans	
cancel	ⵙⵙⵔ	ⵙⵙⵔ	ⵙⵙⵉⵔ	ⵙⵙⴰⵔ	Trans	
burn	ⵙⵙⴽⵎⴹ	ⵙⵙⴽⵎⴹ	ⵙⵙⴽⵎⴹ	ⵙⵙⴽⵎⴰⴹ	Trans	
brush	ⵙⵙⵉⵔⴷ	ⵙⵙⵉⵔⴷ	ⵙⵙⵉⵔⴷ	ⵙⵙⵉⵔⵉⴷ	Trans	
break	ⵕⵥ	ⵕⵥⵉ|ⵕⵥⴰ	ⵕⵣⵉ	ⵜⵜⵕⵥⵥⴰ	Trans	
believe	ⴼⵍⵙ	ⴼⵍⵙ	ⴼⵍⵉⵙ	ⵜⵜⴼⵍⴰⵙ	Trans	
trust	ⴼⵍⵙ ⴳ	ⴼⵍⵙ ⴳ	ⴼⵍⵉⵙ ⴳ	ⵜⵜⴼⵍⴰⵙ ⴳ	Intr	
attack	ⵥⴹⵎ	ⵥⴹⵎ	ⵥⴹⵉⵎ	ⵜⵜⵥⴹⴰⵎ	Trans	
avoid	ⴰⵏⴼ	ⵓⵏⴼ	ⵓⵏⵉⴼ	ⵜⵜⴰⵏⴼ	Trans	
appear	ⵓⵎⴰⵏ	ⵓⵎⴰⵏ	ⵓⵎⴰⵏ	ⵜⵜⵓⵎⴰⵏ	Intr	
agree	ⵎⵙⴰⵙⴰ	ⵎⵙⴰⵙⴰ	ⵎⵙⴰⵙⴰ	ⵜⵜⵎⵙⴰⵙⴰ	Intr	ⴷ/ⴰⴽⴷ/ⵖⴼ...
appreciate	ⵙⵙⵓⵜⴳ	ⵙⵙⵓⵜⴳ	ⵙⵙⵓⵜⴳ	ⵙⵙⵓⵜⵓⴳ	Trans	
admit	ⵙⵙⵉⴽⵣ	ⵙⵙⵉⴽⵣ	ⵙⵙⵉⴽⵣ	ⵙⵙⵉⴽⵉⵣ	Trans	
achieve	ⵙⵙⵉⴷⵜ	ⵙⵙⵉⴷⵜ	ⵙⵙⵉⴷⵜ	ⵙⵙⵉⴷⵉⵜ	Trans	
access	ⵍⴽⵎ	ⵍⴽⵎ	ⵍⴽⵉⵎ	ⵍⴽⴽⵎ	Trans	
arrive	ⵍⴽⵎ	ⵍⴽⵎ	ⵍⴽⵉⵎ	ⵍⴽⴽⵎ	Intr	
accept	ⴷⴳⴳⵉ	ⴷⴳⴳⵉ	ⴷⴳⴳⵉ	ⵜⵜⴷⴳⴳⵉ	Trans	
hurry	ⵖⴰⵡⵍ	ⵖⴰⵡⵍ	ⵖⴰⵡⵍ	ⵜⵜⵖⴰⵡⴰⵍ	Intr	ⵙ/...
watch	ⴰⵏⵏⴰⵢ	ⴰⵏⵏⴰⵢ	ⴰⵏⵏⴰⵢ	ⵜⵜⴰⵏⵏⴰⵢ	Trans	
scream	ⵙⵖⵢⵢⵓ	ⵙⵖⵢⵢⵉ|ⵙⵖⵢⵢⴰ	ⵙⵖⵓⵢⵢⵓ	Intr	ⵖⴼ
be sick	ⴰⴹⵏ	ⵓⴹⵏ	ⵓⴹⵏ	ⵜⵜⴰⴹⵏ	Intr	
be present	ⵎⵎⴳⵏⵜ	ⵎⵎⴳⵏⵜ	ⵎⵎⴳⵏⵜ	ⵜⵜⵎⵎⴳⵏⵜ	Intr	ⴳ
introduce	ⵙⵙⵏⴽⴷ	ⵙⵙⵏⴽⴷ	ⵙⵙⵏⴽⴷ	ⵙⵙⵏⴽⴰⴷ	Trans	
require	ⵙⵙⵓⵜⵔ	ⵙⵙⵓⵜⵔ	ⵙⵙⵓⵜⵔ	ⵙⵙⵓⵜⵓⵔ	Trans	
manage	ⵙⵡⵓⴷⴷⵓ	ⵙⵡⵓⴷⴷⵓ	ⵙⵡⵓⴷⴷⵓ	ⵙⵡⵓⴷⴷⵓ	Trans	
grow (self)	ⵉⵎⵖⵓⵔ	ⵎⵇⵇⵓⵔ	ⵎⵇⵇⵓⵔ	ⵜⵜⵉⵎⵖⵓⵔ	Intr	ⴳ
grow (something)	ⵙⵙⵉⵎⵖⵓⵔ	ⵙⵎⵖⵓⵔ	ⵙⵙⵎⵖⵓⵔ	ⵙⵙⵉⵎⵖⵓⵔ	Trans	
develop	ⵙⵏⴼⵍⵉ	ⵙⵏⴼⵍⵉ	ⵙⵏⴼⵍⵉ	ⵙⵏⴼⵍⴰⵢ	Trans	
define	ⵙⵏⵎⵍ	ⵙⵏⵎⵍ	ⵙⵏⵎⵍ	ⵙⵏⵎⴰⵍ	Trans	
decide	ⵖⵜⵙ	ⵖⵜⵙ	ⵖⵜⵉⵙ	ⵖⵜⵜⵙ	Trans	
create	ⵙⵏⵓⵍⴼⵓ	ⵙⵏⵓⵍⴼⵉ|ⵙⵏⵓⵍⴼⴰ	ⵙⵏⵓⵍⴼⵉ	ⵙⵏⵓⵍⴼⵓ	Trans	
invent	ⵙⵏⵓⵍⴼⵓ	ⵙⵏⵓⵍⴼⵉ|ⵙⵏⵓⵍⴼⴰ	ⵙⵏⵓⵍⴼⵉ	ⵙⵏⵓⵍⴼⵓ	Trans	
apply	ⵙⵏⵙ	ⵙⵏⵙ	ⵙⵏⵉⵙ	ⵙⵏⴰⵙ	Trans	
answer	ⵔⴰⵔ	ⵔⵓⵔ	ⵔⵓⵔⵉ	ⵜⵜⵔⴰⵔⴰ	Intr	ⵖⴼ/ⵉ
focus (self)	ⵏⵏⵓⵎⵎⵙ	ⵏⵏⵓⵎⵎⵙ	ⵏⵏⵓⵎⵎⵙ	ⵜⵜⵏⵓⵎⵎⵓⵙ	Intr	ⵖⴼ
conclude	ⵙⵙⴼⵍⵓ	ⵙⵙⴼⵍⵉ|ⵙⵙⴼⵍⴰ	ⵙⵙⴼⵍⵉ	ⵙⵙⴼⵍⴰⵡ	Trans	
plan	ⵙⵖⵉⵡⵙ	ⵙⵖⵉⵡⵙ	ⵙⵖⵉⵡⵙ	ⵙⵖⵉⵡⵉⵙ	Trans	
clarify	ⵙⵙⵉⵙⴼⵉⵡ	ⵙⵙⵉⵙⴼⵉⵡ	ⵙⵙⵉⵙⴼⵉⵡ	ⵙⵙⵉⵙⴼⵉⵡ	Trans	
simplify	ⵙⵙⴼⵔⴻⵔ	ⵙⵙⴼⵔⴻⵔ	ⵙⵙⴼⵔⴻⵔ	ⵙⵙⴼⵔⴰⵔ	Trans	
imagine	ⵙⵓⴳⵏ	ⵙⵓⴳⵏ	ⵙⵓⴳⵉⵏ	ⵜⵜⵙⵓⴳⵏ	Trans	
represent	ⴳⴳⵏⵙⴻⵙ	ⴳⴳⵏⵙⴻⵙ	ⴳⴳⵏⵙⴻⵙ	ⵜⵜⴳⵏⵙⴰⵙ	Trans	
prepare	ⵙⵎⵓⵜⵜⴳ	ⵙⵎⵓⵜⵜⴳ	ⵙⵎⵓⵜⵜⴳ	ⵙⵎⵓⵜⵜⵓⴳ	Trans	
justify	ⵙⵙⵏⵥⵓ	ⵙⵙⵏⵥⵉ|ⵙⵙⵏⵥⴰ	ⵙⵙⵏⵥⵉ	ⵙⵙⵏⵥⵓ	Trans	
evaluate	ⵙⵙⵓⵜⴳ	ⵙⵙⵓⵜⴳ	ⵙⵙⵓⵜⴳ	ⵙⵙⵓⵜⵓⴳ	Trans	
multiply	ⵙⴳⵜ	ⵙⴳⵜ	ⵙⴳⵜ	ⵙⴳⴰⵜ	Trans	
subtract	ⴽⴽⵙ	ⴽⴽⵙ	ⴽⴽⵉⵙ	ⵜⵜⴽⴽⵙ	Trans	
execise	ⵙⵍⵓⵖⵎⵓ	ⵙⵍⵓⵖⵎⵉ|ⵙⵍⵓⵖⵎⴰ	ⵙⵍⵓⵖⵎⵉ	ⵙⵍⵓⵖⵎⵓ	Trans	
integrate	ⵙⵙⵉⴷⴼ	ⵙⵙⵉⴷⴼ	ⵙⵙⵉⴷⴼ	ⵙⵙⴰⴷⴰⴼ	Trans	
suggest	ⵙⵙⵓⵎⵔ	ⵙⵙⵓⵎⵔ	ⵙⵙⵓⵎⵔ	ⵙⵙⵓⵎⵓⵔ	Trans	
practice	ⵍⵍⴰⵍ	ⵍⵍⴰⵍ	ⵍⵍⴰⵍ	ⵜⵜⵍⴰⵍ	Trans	
express	ⵙⵏⴼⴰⵍⵉ	ⵙⵏⴼⴰⵍⵉ	ⵙⵏⴼⴰⵍⵉ	ⵙⵏⴼⴰⵍⵉⵢ	Trans	
factorize	ⵙⵎⵙⴽⵔ	ⵙⵎⵙⴽⵔ	ⵙⵎⵙⴽⵉⵔ	ⵙⵎⵙⴽⴰⵔ	Trans	
arrange	ⵙⵏⵎⴰⵍⴰ	ⵙⵏⵎⴰⵍⴰ	ⵙⵏⵎⴰⵍⴰ	ⵙⵏⵎⴰⵍⴰ	Trans	
order	ⵜⵜⵔ	ⵜⵜⵔ	ⵜⵜⵔ	ⵜⵜⴻⵜⵜⵔ	Trans	
demand	ⵜⵜⵔ	ⵜⵜⵔ	ⵜⵜⵔ	ⵜⵜⴻⵜⵜⵔ	Trans	
organize	ⵙⵙⵓⴷⵙ	ⵙⵙⵓⴷⵙ	ⵙⵙⵓⴷⵙ	ⵙⵙⵓⴷⵓⵙ	Trans	
compose	ⵙⵓⴷⴷⵙ	ⵙⵙⵓⴷⵙ	ⵙⵙⵓⴷⵙ	ⵙⵙⵓⴷⵓⵙ	Trans	
conjugate	ⵙⵙⴼⵜⵉ	ⵙⵙⴼⵜⵉ	ⵙⵙⴼⵜⵉ	ⵙⵙⴼⵜⴰⵢ	Trans	
pronounce	ⵙⵓⵙⵔⵓ	ⵙⵓⵙⵔⵓ	ⵙⵓⵙⵔⵓ	ⵙⵓⵙⵔⵓ	Trans	
encourage	ⵙⵙⴱⵖⵙ	ⵙⵙⴱⵖⵙ	ⵙⵙⴱⵖⵙ	ⵙⵙⴱⵖⴰⵙ	Trans	
affect	ⵣⵔⵉⵔ	ⵣⵔⵉⵔ	ⵣⵔⵉⵔ	ⵜⵜⵣⵔⵉⵔ	Intr	ⵖⴼ
cause	ⵙⵔⴳ	ⵙⵔⴳ	ⵙⵔⵉⴳ	ⵜⵜⵙⵔⴰⴳ	Trans	
copy	ⵙⵙⵏⵖⵍ	ⵙⵙⵏⵖⵍ	ⵙⵙⵏⵖⵍ	ⵙⵙⵏⵖⴰⵍ	Trans	
paste	ⵙⵍⵖ	ⵙⵍⵖ	ⵙⵍⵖ	ⵙⵍⴰⵖ	Trans	
produce	ⴼⴰⵔⵙ	ⴼⴰⵔⵙ	ⴼⴰⵔⵙ	ⵜⵜⴼⴰⵔⴰⵙ	Trans	
link	ⴰⵙⵖ	ⴰⵙⵖ	ⴰⵙⵖ	ⵜⵜⴰⵙⵖ	Trans	
construct	ⵥⴽⵓ	ⵥⴽⵉ|ⵥⴽⴰ	ⵥⴽⵉ	ⵜⵜⵥⴽⵓ	Trans	
educate	ⵙⵙⴳⵎⵉ	ⵙⵙⴳⵎⵉ|ⵙⵙⴳⵎⴰ	ⵙⵙⴳⵎⵉ	ⵙⵙⴳⵎⵓ	Trans	
execute	ⵣⵣⴳⵔ	ⵣⵣⴳⵔ	ⵣⵣⴳⵔ	ⵣⵣⴳⴰⵔ	Trans	
demonstrate	ⵙⵙⵏⵥⵓ	ⵙⵙⵏⵥⵉ|ⵙⵙⵏⵥⴰ	ⵙⵙⵏⵥⵉ	ⵙⵙⵏⵥⵓ	Trans	
publish	ⴼⵙⵔ	ⴼⵙⵔ	ⴼⵙⵉⵔ	ⴼⵙⵙⵔ	Trans	
comment	ⵖⴼⴰⵡⵍ	ⵖⴼⴰⵡⵍ	ⵖⴼⴰⵡⵍ	ⵜⵜⵖⴼⴰⵡⴰⵍ	Intr	ⵖⴼ/ⴳ
push	ⴷⵃⴰ	ⴷⵃⵉ|ⴷⵃⴰ	ⴷⵃⵉ	ⴷⵃⵃⴰ	Trans	
consider	ⵎⴳⴳⵣ/ⵙⵎⵓⵇⵇⵍ	ⵎⴳⴳⵣ/ⵙⵎⵓⵇⵇⵍ	ⵎⴳⴳⵣ/ⵙⵎⵓⵇⵇⵍ	ⵜⵜⵎⴳⴳⴰⵣ/ⵙⵎⵓⵇⵇⵓⵍ	Trans	
program	ⵙⵙⵉⵀⵍ	ⵙⵙⵉⵀⵍ	ⵙⵙⵉⵀⵍ	ⵙⵙⵉⵀⵉⵍ	Trans	
hack	ⵙⵖⵏⴷⴼ	ⵙⵖⵏⴷⴼ	ⵙⵖⵏⴷⵉⴼ	ⵙⵖⵏⴷⴰⴼ	Trans	
activate	ⵙⵔⵎⴷ	ⵙⵔⵎⴷ	ⵙⵔⵎⴷ	ⵙⵔⵎⴰⴷ	Trans	
correct	ⵙⵏⵎ	ⵙⵏⵎ	ⵙⵏⵎ	ⵙⵏⵓⵎ	Trans	
rise	ⴰⵍⵉ	ⵓⵍⵉ	ⵓⵍⵉ	ⵜⵜⴰⵍⵉ	Intr	ⴷ
assist	ⴰⵡⵙ	ⵉⵡⵙ	ⵉⵡⵙ	ⵜⵜⴰⵡⵙ	Intr	ⴰⵙ
calculate	ⵙⵙⵉⴹⵏ	ⵙⵙⵉⴹⵏ	ⵙⵙⵉⴹⵏ	ⵙⵙⵉⴹⵉⵏ	Trans	
cooperate	ⵎⵢⴰⵡⴰⵙ	ⵎⵢⴰⵡⴰⵙ	ⵎⵢⴰⵡⵉⵙ	ⵜⵜⵎⵢⴰⵡⴰⵙ	Intr	ⴷ/ⴰⴽⴷ
provide	ⴼⴽ	ⴼⴽⵉ|ⴼⴽⴰ	ⴼⴽⵉ	ⴰⴽⴽⴰ	Trans	
support	ⵙⵏⴰⵍ	ⵙⵏⴰⵍ	ⵙⵏⴰⵍ	ⵙⵏⴰⵍ	Trans	
translate	ⵙⵙⵓⵖⵍ	ⵙⵙⵓⵖⵍ	ⵙⵙⵓⵖⵍ	ⵙⵙⵓⵖⵓⵍ	Trans	
improve	ⵙⴼⴰⵍⴽⵉ	ⵙⴼⵓⵍⴽⵉ	ⵙⴼⵓⵍⴽⵉ	ⵙⴼⴰⵍⴽⴰⵢ	Trans	
predict	ⵙⵎⵏⵏⵉ	ⵙⵎⵏⵏⵉ	ⵙⵎⵏⵏⵉ	ⵙⵎⵏⵏⴰⵢ	Trans	
keep	ⴰⵊⵊ	ⵓⵊⵊⵉ|ⵓⵊⵊⴰ	ⵓⵊⵊⵉ	ⵜⵜⴰⵊⵊ	Trans	
enable	ⵙⵔⵎⴷ	ⵙⵔⵎⴷ	ⵙⵔⵎⴷ	ⵙⵔⵎⴰⴷ	Trans	
be sure	ⵍⴽⵏ	ⵍⴽⵏ	ⵍⴽⵉⵏ	ⵍⴽⴽⵏ	Intr	ⵎⴰⵙ (that)
transform	ⵙⵏⴼⵍⵖⴰ	ⵙⵏⴼⵍⵖⴰ	ⵙⵏⴼⵍⵖⴰ	ⵙⵏⴼⵍⵖⴰ	Trans	
process	ⵙⵎⴽⵍ	ⵙⵎⴽⵍ	ⵙⵎⴽⵍ	ⵙⵎⴽⴰⵍ	Trans	
recognize	ⴰⴽⵯⵣ	ⵓⴽⵯⵣ	ⵓⴽⵯⵣ	ⵜⵜⴰⴽⵯⵣ	Trans	
throw	ⴳⵔ	ⴳⵔⵉ|ⴳⵔⴰ	ⴳⵔⵉ	ⴳⴳⴰⵔ	Trans	
store	ⴽⵛⴰⴷ	ⴽⵛⴰⴷ	ⴽⵛⴰⴷ	ⵜⵜⴽⵛⴰⴷ	Trans	
install	ⵣⵣⵓⴳⵣ	ⵣⵣⵓⴳⵣ	ⵣⵣⵓⴳⵣ	ⵣⵣⵓⴳⵓⵣ	Trans	
download	ⵣⴷⵎ	ⵣⴷⵎ	ⵣⴷⵉⵎ	ⵣⴷⴷⵎ	Trans	
recover	ⵙⵙⵓⵔⵔⵉ	ⵙⵙⵓⵔⵔⵉ	ⵙⵙⵓⵔⵔⵉ	ⵙⵙⵓⵔⵔⵉⵢ	Trans	
murder	ⵏⵖ	ⵏⵖⵉ|ⵏⵖⴰ	ⵏⵖⵉ	ⵏⵇⵇⴰ	Trans	
resist	ⵎⵙⵏⴽⴰⵔ	ⵎⵙⵏⴽⴰⵔ	ⵎⵙⵏⴽⴰⵔ	ⵜⵜⵎⵙⵏⴽⴰⵔ	Trans	
touch	ⴳⴳⵔ	ⴳⴳⵔ	ⴳⴳⵉⵔ	ⵜⵜⴳⴳⵔ	Intr	ⵉ
hurt	ⴱⵔⵉ	ⴱⵔⵉ	ⴱⵔⵉ	ⴱⵔⵔⵉ	Trans	
swallow	ⵍⵎⵥ	ⵍⵎⵥ	ⵍⵎⵉⵥ	ⵜⵜⵍⵎⴰⵥ	Trans	
thank	ⵙⵏⵉⵎⵎⵔ	ⵙⵏⵉⵎⵎⵔ	ⵙⵏⵉⵎⵎⵔ	ⵙⵏⵉⵎⵎⵉⵔ	Trans	
celebrate	ⵙⴼⵓⴳⵍⵓ	ⵙⴼⵓⴳⵍⵉ|ⵙⴼⵓⴳⵍⴰ	ⵙⴼⵓⴳⵍⵉ	ⵙⴼⵓⴳⵍⵓ	Intr	ⵙ
pride	ⴱⵓⵔⵣ	ⴱⵓⵔⵣ	ⴱⵓⵔⵣ	ⵜⵜⴱⵓⵔⵓⵣ	Intr	ⵙ
scare	ⵥⵥⵎⵓ	ⵥⵥⵎⵉ|ⵥⵥⵎⴰ	ⵥⵥⵎⵉ	ⵥⵥⵎⴰⵡ	Trans	
disappear	ⵏⵜⵍ	ⵏⵜⵍ	ⵏⵜⵉⵍ	ⵏⵜⵜⵍ	Intr	ⴳ/...
pour	ⴼⴼⵉ	ⴼⴼⵉ	ⴼⴼⵉ	ⵜⵜⴼⴼⵉ	Trans	
treat	ⵙⵎⴽⵍ	ⵙⵎⴽⵍ	ⵙⵎⴽⵍ	ⵙⵎⴽⴰⵍ	Trans	
sacrifice	ⵙⴼⴰⵙⴽⴰ	ⵙⴼⴰⵙⴽⴰ	ⵙⴼⴰⵙⴽⴰ	ⵙⴼⴰⵙⴽⴰ	Intr	ⵙ
smell	ⴽⴹⵓ	ⴽⴹⵉ|ⴽⴹⴰ	ⴽⴹⵉ	ⵜⵜⴽⴹⵓ	Trans	
shop	ⴳⴷⵣ	ⴳⴷⵣ	ⴳⴷⵉⵣ	ⵜⵜⴳⴷⴰⵣ	Intr	
wave	ⵙⵉⵍⵍⴼ	ⵙⵉⵍⵍⴼ	ⵙⵉⵍⵍⴼ	ⵙⵉⵍⵍⵉⴼ	Intr	ⵙ
fail	ⴳⵓⴼ	ⴳⵓⴼ	ⴳⵓⴼ	ⵜⵜⴳⵓⴼ	Intr	ⴳ
shave	ⵃⴼⴼⴻⴼ	ⵃⴼⴼⴻⴼ	ⵃⴼⴼⵉⴼ	ⵜⵜⵃⴼⴼⴰⴼ	Trans	
fart	ⵙⴽⵓⵛⵛⵉ	ⵙⴽⵓⵛⵛⵉ	ⵙⴽⵓⵛⵛⵉ	ⵙⴽⵓⵛⵛⵓⵢ	Intr	
serve	ⵙⵏⴰⵔ	ⵙⵏⴰⵔ	ⵙⵏⴰⵔ	ⵙⵏⴰⵔⴰ	Trans	
sign	ⵙⵙⴳⵎⴹ	ⵙⵙⴳⵎⴹ	ⵙⵙⴳⵎⴹ	ⵙⵙⴳⵎⴰⴹ	Trans	
salute	ⵙⵙⴰⵣⵓⵍ	ⵙⵙⴰⵣⵓⵍ	ⵙⵙⴰⵣⵓⵍ	ⵙⵙⴰⵣⵓⵍ	Trans	
kiss	ⵙⵙⵓⴷⵎ	ⵙⵙⵓⴷⵎ	ⵙⵙⵓⴷⵎ	ⵙⵙⵓⴷⵓⵎ	Trans	
design	ⵙⵖⵉⵡⵙ	ⵙⵖⵉⵡⵙ	ⵙⵖⵉⵡⵙ	ⵙⵖⵉⵡⵉⵙ	Trans	
punish	ⵙⵎⵔⵔⵜ	ⵙⵎⵔⵔⵜ	ⵙⵎⵔⵔⵜ	ⵙⵎⵔⵔⴰⵜ	Trans	
reject	ⴰⴳⵯⵉ	ⵓⴳⵯⵉ	ⵓⴳⵯⵉ	ⵜⵜⴰⴳⵯⵉ	Trans	
underestimate	ⵙⵙⵍⴽⵓ	ⵙⵙⵍⴽⵉ|ⵙⵙⵍⴽⴰ	ⵙⵙⵍⴽⵉ	ⵙⵙⵍⴽⴰⵡ	Trans	
revive	ⵙⵙⵓⴷⵔ	ⵙⵙⵓⴷⵔ	ⵙⵙⵓⴷⵔ	ⵙⵙⵓⴷⵓⵔ	Trans	
regret	ⵉⴳⵯⵕⵉⵥ	ⵉⴳⵯⵕⵉⵥ	ⵉⴳⵯⵕⵉⵥ	ⵜⵜⵉⴳⵯⵕⵉⵥ	Trans	
explode	ⴱⴱⴰⵇⵇⵉ	ⴱⴱⴰⵇⵇⵉ	ⴱⴱⴰⵇⵇⵉ	ⵜⵜⴱⴰⵇⵇⴰⵢ	Intr	ⴳ
shock	ⵏⴳⵙ	ⵏⴳⵙ	ⵏⴳⵉⵙ	ⵏⴳⴳⵙ	Trans	
train	ⵙⵍⵍⵓⵖⵎⵜ	ⵙⵍⵍⵓⵖⵎⵜ	ⵙⵍⵍⵓⵖⵎⵜ	ⵙⵍⵍⵓⵖⵎⵜ	Trans	
lay	ⵥⵥⵍ	ⵥⵥⵍ	ⵥⵥⵉⵍ	ⵜⵜⵥⵥⵍ	Trans	
exchange	ⵙⵎⵔⴰⵔⴰ	ⵙⵎⵔⴰⵔⵉ|ⵙⵎⵔⴰⵔⴰ	ⵙⵎⵔⴰⵔⵉ	ⵙⵎⵔⴰⵔⴰ	Trans	
consume	ⵙⵎⵓⵔ	ⵙⵎⴰⵔ	ⵙⵎⴰⵔ	ⵜⵜⵙⵎⵓⵔ	Trans	
borrow	ⵕⴹⵍ	ⵕⴹⵍ	ⵕⴹⵉⵍ	ⵕⵟⵟⵍ	Trans	
reach	ⴰⵡⴹ	ⵉⵡⴹ	ⵉⵡⵉⴹ	ⵜⵜⴰⵡⴹ	Trans	
flow	ⵏⴳⵉ/ⵏⵖⵍ	ⵏⴳⵉ/ⵏⵖⵍ	ⵏⴳⵉ/ⵏⵖⵉⵍ	ⵏⴳⴳⵉ/ⵜⵜⵏⵖⴰⵍ	Intr	
vomit	ⵔⴰⵔ	ⵔⵓⵔ	ⵔⵓⵔⵉ	ⵜⵜⵔⴰⵔⴰ	Intr	
respond	ⵙⴷⵎⵔ	ⵙⴷⵎⵔ	ⵙⴷⵎⵉⵔ	ⵙⴷⵎⴰⵔ	Intr	ⵉ
hunt	ⴳⵎⵔ	ⴳⵎⵔ	ⴳⵎⵉⵔ	ⴳⵎⵎⵔ	Trans	
warm	ⵙⵙⵔⵖ	ⵙⵙⵔⵖⵉ|ⵙⵙⵔⵖⴰ	ⵙⵙⵔⵖⵉ	ⵙⵙⵔⵖⴰ	Trans	
cool	ⵙⵙⴽⵔⵎ	ⵙⵙⴽⵔⵎ	ⵙⵙⴽⵔⵎ	ⵙⵙⴽⵔⴰⵎ	Trans	
sing	ⵉⵔⵉⵔ	ⵉⵔⵉⵔ	ⵉⵔⵉⵔ	ⵜⵜⵉⵔⵉⵔ	Trans	
look like	ⴳ ⵣⵓⵏ ⴷ	ⴳⵉ|ⴳⴰ ⵣⵓⵏ ⴷ	ⴳⵉ ⵣⵓⵏ ⴷ	ⵜⵜⴳⴳⴰ ⵣⵓⵏ ⴷ	Intr	
let	ⴰⵊⵊ	ⵓⵊⵊⵉ|ⵓⵊⵊⴰ	ⵓⵊⵊⵉ	ⵜⵜⴰⵊⵊ	Trans	
be liked	ⵙⵙⵓⵙⵎ	ⵙⵙⵓⵙⵎ	ⵙⵙⵓⵙⵎ	ⵙⵙⵓⵙⵓⵎ	Trans	
drive	ⵏⴷⵀ	ⵏⴷⵀ	ⵏⴷⵉⵀ	ⵏⴷⴷⵀ	Trans	
lend	ⵕⴹⵍ (ⵉ)	ⵕⴹⵍ (ⵉ)	ⵕⴹⵉⵍ (ⵉ)	ⵕⵟⵟⵍ (ⵉ)	Trans	
borrow	ⵕⴹⵍ (ⵙⴳ)	ⵕⴹⵍ (ⵙⴳ)	ⵕⴹⵉⵍ (ⵙⴳ)	ⵕⵟⵟⵍ (ⵙⴳ)	Trans
rent	ⵖⴼⵔ	ⵖⴼⵔ	ⵖⴼⵉⵔ	ⵖⴼⴼⵔ	Trans	
talk	ⵙⴰⵡⵍ	ⵙⴰⵡⵍ	ⵙⴰⵡⵉⵍ	ⵙⴰⵡⴰⵍ	Intr	ⵙ/ⴷ
spend	ⵖⵣⴷ	ⵖⵣⴷ	ⵖⵣⵉⴷ	ⵜⵜⵖⵣⴰⴷ	Trans	
offer	ⵙⴽⵏ	ⵙⵙⴽⵏ	ⵙⵙⴽⵏ	ⵙⵙⴽⴰⵏ	Trans	
type	ⴰⵔⴰ	ⵓⵔⵉ|ⵓⵔⴰ	ⵓⵔⵉ	ⵜⵜⴰⵔⴰ	Trans	
taste	ⵎⵎⴹⵉ	ⵎⵎⴹⵉ	ⵎⵎⴹⵉ	ⵎⵟⵟⵉ	Trans	
whistle	ⵙⵉⵏⵚⵚⴳ	ⵙⵉⵏⵚⵚⴳ	ⵙⵉⵏⵚⵚⴳ	ⵙⵉⵏⵚⵚⵉⴳ	Intr	ⵉ
yell	ⵙⵖⵢⵢⵓ	ⵙⵖⵢⵢⵉ|ⵙⵖⵢⵢⴰ	ⵙⵖⵢⵢⵉ	ⵙⵖⵓⵢⵢⵓ	Intr	ⵖⴼ
wake up (self)	ⵏⴽⵔ (ⴷ)	ⵏⴽⵔ (ⴷ)	ⵏⴽⵉⵔ (ⴷ)	ⵏⴽⴽⵔ (ⴷ)	Intr	
wake up (someone)	ⵙⵙⵏⴽⵔ (ⴷ)	ⵙⵙⵏⴽⵔ (ⴷ)	ⵙⵙⵏⴽⵉⵔ (ⴷ)	ⵙⵙⵏⴽⴰⵔ (ⴷ)	Trans	
ride	ⵙⵙⵓⴷⵓ/ⵏⵢ	ⵙⵙⵓⴷⵉ|ⵙⵙⵓⴷⴰ/ⵏⵢⵉ|ⵏⵢⴰ	ⵙⵙⵓⴷⵉ/ⵏⵢⵉ	ⵜⵜⵙⵓⴷⵓ/ⵜⵜⵏⵓⵢ	Trans	
climb	ⴰⵡⵏ	ⵉⵡⵏ	ⵉⵡⵏ	ⵜⵜⴰⵡⵏ	Intr	ⵉ
lead	ⴰⵡⵉ (ⴷ)	ⵉⵡⵉ (ⴷ)	ⵉⵡⵉ (ⴷ)	ⵜⵜⴰⵡⵉ (ⴷ)	Trans	
dance	ⵔⴽⵣ	ⵔⴽⵣ	ⵔⴽⵉⵣ	ⵜⵜⵔⴽⴰⵣ	Intr	
dream	ⵡⴰⵔⴳⴰ	ⵡⴰⵔⴳⴰ	ⵡⴰⵔⴳⴰ	ⵜⵜⵡⴰⵔⴳⴰ	Intr	
guess	ⵙⵙⴰⴳⴳⵯ	ⵙⵙⴰⴳⴳⵯ	ⵙⵙⴰⴳⴳⵯ	ⵙⵙⴰⴳⴳⵯⴰ	Trans	
hug	ⵖⴰⵍⵍⴰ	ⵖⴰⵍⵍⴰ	ⵖⴰⵍⵍⴰ	ⵜⵜⵖⴰⵍⵍⴰ	Trans	
embrace	ⵃⵎⵎⵥ	ⵃⵎⵎⵥ	ⵃⵎⵎⵉⵥ	ⵜⵜⵃⵎⵎⴰⵥ	Trans	
pull	ⵣⵣⵓⵖⵔ	ⵣⵣⵓⵖⵔ	ⵣⵣⵓⵖⵔ	ⵣⵣⵓⵖⵓⵔ	Trans	
promise	ⵇⴰⵡⵍ	ⵇⴰⵡⵍ	ⵇⴰⵡⵍ	ⵜⵜⵇⴰⵡⴰⵍ	Intr	ⵙ
